Participant,Stimulus,Run,Filename,Modality,Score
2,shepard,1,shepard_rising_1.0.mp3,haptic,3.1
2,shepard,1,pitch_decrease_mild_200to141Hz.mp3,both,-4.7
2,shepard,1,pitch_decrease_strong_200to100Hz.mp3,both,-5.5
2,shepard,1,pitch_increase_strong_200to400Hz.mp3,both,7.4
2,shepard,1,shepard_rising_1.0.mp3,both,10.0
2,shepard,1,pitch_decrease_mild_200to141Hz.mp3,audio,-5.1
2,shepard,1,shepard_falling_1.0.mp3,haptic,-4.5
2,shepard,1,pitch_increase_mild_200to283Hz.mp3,audio,4.4
2,shepard,1,pitch_constant_200to200Hz.mp3,audio,-0.3
2,shepard,1,pitch_decrease_strong_200to100Hz.mp3,haptic,7.1
2,shepard,1,pitch_decrease_strong_200to100Hz.mp3,audio,-3.4
2,shepard,1,pitch_increase_strong_200to400Hz.mp3,haptic,-4.0
2,shepard,1,shepard_falling_1.0.mp3,audio,-5.8
2,shepard,1,pitch_constant_200to200Hz.mp3,haptic,5.1
2,shepard,1,pitch_constant_200to200Hz.mp3,both,0.2
2,shepard,1,shepard_falling_1.0.mp3,both,-4.4
2,shepard,1,pitch_increase_strong_200to400Hz.mp3,audio,3.7
2,shepard,1,pitch_decrease_mild_200to141Hz.mp3,haptic,4.8
2,shepard,1,shepard_rising_1.0.mp3,audio,9.1
2,shepard,1,pitch_increase_mild_200to283Hz.mp3,both,2.9
2,shepard,1,pitch_increase_mild_200to283Hz.mp3,haptic,-3.0
2,shepard,2,shepard_rising_1.0.mp3,both,8.7
2,shepard,2,pitch_increase_strong_200to400Hz.mp3,haptic,-5.3
2,shepard,2,shepard_falling_1.0.mp3,both,-5.2
2,shepard,2,shepard_rising_1.0.mp3,audio,5.2
2,shepard,2,pitch_increase_mild_200to283Hz.mp3,both,2.7
2,shepard,2,pitch_decrease_strong_200to100Hz.mp3,both,-4.9
2,shepard,2,pitch_increase_mild_200to283Hz.mp3,haptic,1.7
2,shepard,2,shepard_falling_1.0.mp3,audio,-3.7
2,shepard,2,pitch_decrease_strong_200to100Hz.mp3,audio,-4.4
2,shepard,2,pitch_decrease_strong_200to100Hz.mp3,haptic,3.2
2,shepard,2,pitch_increase_strong_200to400Hz.mp3,audio,3.1
2,shepard,2,pitch_constant_200to200Hz.mp3,audio,-1.1
2,shepard,2,pitch_constant_200to200Hz.mp3,both,0.0
2,shepard,2,shepard_falling_1.0.mp3,haptic,-2.3
2,shepard,2,pitch_increase_strong_200to400Hz.mp3,both,6.3
2,shepard,2,pitch_decrease_mild_200to141Hz.mp3,haptic,8.3
2,shepard,2,pitch_constant_200to200Hz.mp3,haptic,6.3
2,shepard,2,pitch_increase_mild_200to283Hz.mp3,audio,3.3
2,shepard,2,pitch_decrease_mild_200to141Hz.mp3,audio,-4.4
2,shepard,2,pitch_decrease_mild_200to141Hz.mp3,both,-2.8
2,shepard,2,shepard_rising_1.0.mp3,haptic,3.9
2,shepard,3,pitch_constant_200to200Hz.mp3,audio,1.9
2,shepard,3,shepard_falling_1.0.mp3,audio,-3.7
2,shepard,3,pitch_increase_strong_200to400Hz.mp3,both,8.4
2,shepard,3,shepard_falling_1.0.mp3,both,-6.9
2,shepard,3,shepard_rising_1.0.mp3,audio,4.5
2,shepard,3,pitch_increase_mild_200to283Hz.mp3,haptic,-4.4
2,shepard,3,pitch_increase_strong_200to400Hz.mp3,audio,3.7
2,shepard,3,pitch_decrease_mild_200to141Hz.mp3,both,-5.0
2,shepard,3,pitch_decrease_strong_200to100Hz.mp3,both,-3.6
2,shepard,3,shepard_rising_1.0.mp3,both,6.6
2,shepard,3,pitch_decrease_strong_200to100Hz.mp3,haptic,-4.7
2,shepard,3,pitch_decrease_strong_200to100Hz.mp3,audio,-5.2
2,shepard,3,pitch_constant_200to200Hz.mp3,both,0.0
2,shepard,3,shepard_rising_1.0.mp3,haptic,3.9
2,shepard,3,pitch_decrease_mild_200to141Hz.mp3,haptic,5.1
2,shepard,3,pitch_increase_mild_200to283Hz.mp3,both,5.3
2,shepard,3,pitch_increase_mild_200to283Hz.mp3,audio,2.4
2,shepard,3,pitch_constant_200to200Hz.mp3,haptic,4.6
2,shepard,3,pitch_decrease_mild_200to141Hz.mp3,audio,-4.5
2,shepard,3,shepard_falling_1.0.mp3,haptic,-2.1
2,shepard,3,pitch_increase_strong_200to400Hz.mp3,haptic,4.7
